V,p_adj
0.6043273882568087,0.0010883934514877014
0.6188281957664687,0.0009765540976401921
0.6011755561157477,0.00033370619507033794
0.7172482498937088,0.0003299545977967222
0.6978674026262802,0.00010759607996368992
0.6715192207962573,0.0002827937278829795
0.5718282175019873,0.002097892115797917
0.6644366524326782,0.0001222626930451609
0.7084993209078337,0.0003047108568126067
0.7112416771674178,0.0007896123045239012
0.5786102596820297,0.0009206713146946433
0.6850878540829807,0.00020354282755008501
0.6252295013442597,0.00038927620999418266
0.6548234501968989,0.0005627266461898373
0.6722425345686696,0.0001717874761280047
0.6125048323409498,0.0015839765379416226
0.6214316338312753,0.0012704250556270225
0.6804724876016851,0.0003027074832203658
0.6852629826068719,0.0003844552946675739
0.6512466460461306,0.00021721869782775904
0.6711008303217046,0.0002146727043386143
0.6607758448707488,0.0002555967453159447
0.603354731535715,0.0005879950726955796
0.6424813452158941,0.0006048794537153457
0.5879058143694538,0.0009621895017238868
0.6790667149393186,0.00018769983885336128
0.6562347052517609,0.0002594452119656365
0.6218702456281393,0.0008121642528683415
0.5647643966819884,0.0026626841589203476
0.6220495751355032,0.0009390066742650527
0.7072718398419772,0.00041912925106324384
0.6560369383124488,0.0006221794877188103
0.6860642723752988,0.00027615315927231876
0.6910952874000766,0.00022781446739550404
0.6853609442732482,7.658420839107283e-05
0.6124241143985706,0.00038522439144283993
0.6817948588258508,0.0002152975410322222
0.693751933490537,0.0002762267978827504
0.6332959025434648,0.002723469031569281
0.7401655184864232,0.00018047436430213004
0.5791627775865082,0.0008928690291351016
0.6755124029342138,8.963765904512755e-05
0.5536074824126707,0.00394601659963556
0.618026007307908,0.0016199886350591886
0.641426667974867,0.0007927610537457053
0.710641273122357,0.0002629792790357355
0.7124219514550568,0.0002037661800611268
0.7049454862162953,0.00032176183596610564
0.7097697131062211,0.0005323197939075541
0.6803533220615511,0.0008684165298603608
0.6825334009965167,0.0006336884452443625
0.592421714764726,0.00041892635582962967
0.64274767851302,8.526228478544784e-05
0.6573829413893988,0.0004343790848090334
0.7217274603792814,0.00013342151083894915
0.6770540360775138,0.0003363895175402254
0.6671708514715632,0.0003347627003594811
0.60716173932684,0.0004517105630064133
0.6549009346260715,0.00032412171615670005
0.645511395388643,0.00023679052542846524
0.5977881909332676,0.000777688595413939
0.6641175279799395,0.0003121420781329043
0.6537296708315495,0.0009797565963703958
0.7067631550188439,0.0002518175670118694
0.6560542784195869,0.000484302362253608
0.6744090295022593,0.00022014145689164266
0.6416752818763601,0.0006278108547370653
0.7171385949887512,0.0001664314201569317
0.7322933666615559,0.000541465652095563
0.6000860299675472,0.0010823821419179147
0.5729059718914333,0.0025236215839082865
0.6679877376185441,0.0010876666775105903
0.6171491712644449,0.00036516007058762234
0.7054731294344787,0.00019600889913495845
0.6127265437669953,0.00030881214197286955
0.7343287559428073,0.00035658145562855736
0.6442934086489047,0.00034157090754105557
0.71945439983647,0.0008375811155565405
0.7414024387609081,0.00016890244611988958
0.6373231989856337,0.0005162521863811831
0.7118894317795864,0.00037072192848042196
0.6926549201196727,0.00019574719493942183
0.7756292840089678,0.00015817239806892314
0.6163790423000352,0.0002289781710804739
0.7120164185181075,0.00037561339607383726
0.6627416871935308,0.00033394060082914123
0.6612622614151861,0.00043998846896753374
0.6602381120399577,0.0005848108347860093
0.6694918087850161,0.0004923749497852681
0.6090360791616196,0.0008986251675741075
0.6243389373819573,0.001062542332394556
0.6802142195853981,0.000741526602275222
0.6833722284840915,0.0001740964170688919
0.6739772262630613,0.0007577649647302342
0.559134788801626,0.0010870200353180204
0.6334567735519753,0.0002015309865004422
0.6590056263392305,0.0008172211966650522
0.6144521014166824,0.0005015484215509236
0.6668696739003501,0.0002850006089023527
0.695233180746716,0.0002355938994774709
0.6313588027646581,0.0007842775780908529
0.6373483014016474,0.0009883611124412717
0.7159926283854544,0.00021991023533840526
0.7281373540493429,0.00031184338103484865
0.5775684215389383,0.0005169504361652866
0.5574668851660318,0.0011344078965361826
0.5382156053699477,0.0021835072705799208
0.6535913047374322,0.0009498546469050018
0.6378712421710521,0.00032896712044838683
0.6320796440663546,0.0005479394941009241
0.6672267472591792,0.0004077845376061484
0.5818160699113339,0.0010133968017025374
0.610513854197054,0.000542169002335724
0.6700679195273798,8.729187251643733e-05
