interaction_tone,contrast,pr_BgtA,delta_lo,delta_hi,or_lo,or_hi
abusive,1b_prompt_without_context > 1a_prompt_with_context,0.999405,0.08805188112400751,0.3574811496687011,2.695527470557172,504.7059116683985
abusive,2b_interaction_without_context > 2a_interaction_with_context,0.739035,-0.12923621040727343,0.2502685125774,0.5063641755377479,3.9323037277400243
friendly,1b_prompt_without_context > 1a_prompt_with_context,0.247005,-0.11093842779454519,0.05293098655746999,0.012127332872659876,5.428806306856168
friendly,2b_interaction_without_context > 2a_interaction_with_context,0.30852,-0.12948849589836373,0.07624697628288153,0.06753705365230743,4.292424726336633
unclear,1b_prompt_without_context > 1a_prompt_with_context,1.0,0.3808950409565187,0.7313396252580026,5.471331605025659,54.075253049830565
unclear,2b_interaction_without_context > 2a_interaction_with_context,0.678315,-0.1603703692614171,0.2558529300713464,0.5020552593998773,3.053910506609107
