model_name,k1a,n1a,k1b,n1b,pr_1b_gt_1a,delta_lo,delta_hi,or_lo,or_hi
gemma2:9b,3,10,10,10,0.99948,0.25933019687713077,0.8423687370104582,3.604752984941459,1156.0776687172604
gemma3:12b,1,10,10,10,0.999985,0.45199547331670253,0.9425546828394593,8.523269693753923,4090.20176898748
llama3.1:8b,3,6,8,10,0.882865,-0.15986555312455292,0.6361909026487471,0.46100077729620825,27.710154031042485
mistral:7b,3,10,7,10,0.95724,-0.049329262177837396,0.6693474847365777,0.8142813600350773,29.723503135641565
