model_name,k_rec,n_rec,k_miss,n_miss,pr_miss_gt_rec,delta_lo,delta_hi,or_lo,or_hi
ALL,22,131,4,21,0.667355,-0.11127481213697699,0.23964805057384703,0.3825806146726897,3.6731166991597166
gemma2:9b,0,35,0,5,0.856545,-0.04558067505064022,0.4347657523149462,0.15456352907509716,279.2906705955146
gemma3:12b,5,32,0,4,0.4018,-0.24823090136604983,0.358220907235162,0.02337001569105708,6.76174457901959
llama3.1:8b,17,40,0,0,0.57089,-0.4405537732618022,0.5827521725753688,0.032821202076010074,55.784395074109334
mistral:7b,0,24,4,12,0.99741,0.0848145020411659,0.5839151950831533,2.2428757417600997,624.967732044328
